Variedad;Productor;Fecha_cosecha;Sigla;Evaluacion;Color;Tratamiento;Repetici—n;N_Bayas;Peso;Calibre_Ecuatorial;Calibre_polar;Color pag y dato;L*;a*;b*;c;h;TSS;PH;Gasto;Acidez_titulable;Firmeza
SC;Walpon;26-Feb;T3 3H V R3;E03;V;3h;R3;6;7.99;22.51;25.18;1(80-119);432.04;50.60471845;7.346637674;51.13521892;8.260315579;;;;;236.048
SC;Walpon;26-Feb;T3 3H V R3;E03;V;3h;R3;7;9.06;23.57;25.52;1(80-119);473.23;136.8591176;35.51215824;141.3914122;14.54628751;;;;;243.799
SC;Walpon;26-Feb;T3 3H V R3;E03;V;3h;R3;8;9.1;25.36;25.89;1(80-119);425.17;39.35545297;0.934499727;39.36654631;1.360239221;;;;;250.234
SC;Walpon;26-Feb;T3 3H V R3;E03;V;3h;R3;9;9.3;23.3;23.87;1(80-119);433.87;69.17624886;9.890632565;69.87973969;8.136848463;;;;;255.095
SC;Walpon;26-Feb;T3 3H V R3;E03;V;3h;R3;10;8.38;22.79;26.32;1(80-119);469.86;130.8983593;34.28664975;135.3142816;14.6779276;;;;;235.593
SC;Walpon;26-Feb;T3 3H V R4;E03;V;3h;R4;1;8.33;23.47;23.14;1(80-119);429.82;22.77771842;0.497746382;22.78315623;1.251847453;18.5;3.44;5.65;0.85;239.679
SC;Walpon;26-Feb;T3 3H V R4;E03;V;3h;R4;2;7.01;21.72;23.59;1(80-119);422.94;21.16752768;-0.833563424;21.18393392;357.7448948;;;;;212.263
SC;Walpon;26-Feb;T3 3H V R4;E03;V;3h;R4;3;5.73;20.51;21.69;1(80-119);424.55;30.43761368;-0.868852364;30.450012;358.3649159;;;;;232.258
SC;Walpon;26-Feb;T3 3H V R4;E03;V;3h;R4;4;6.81;21.58;21.55;1(80-119);439.53;70.25672572;13.47051268;71.53643981;10.85375471;;;;;225.252
SC;Walpon;26-Feb;T3 3H V R4;E03;V;3h;R4;5;8;22.47;23.41;1(80-119);423.53;21.16041466;-0.909254033;21.17994078;357.5395383;;;;;230.277
SC;Walpon;26-Feb;T3 3H V R4;E03;V;3h;R4;6;8.03;24.29;23.13;1(80-119);426.18;23.7574378;-4.44165758;24.16907472;349.4103135;;;;;223.12
SC;Walpon;26-Feb;T3 3H V R4;E03;V;3h;R4;7;6.12;20.87;21.72;1(80-119);420.80;45.83752132;4.537229864;46.06153293;5.653011434;;;;;228.111
SC;Walpon;26-Feb;T3 3H V R4;E03;V;3h;R4;8;7.41;22.86;23.24;1(80-119);423.64;20.34882007;-2.092395313;20.45611391;354.1291164;;;;;211.598
SC;Walpon;26-Feb;T3 3H V R4;E03;V;3h;R4;9;6.92;22;23.84;1(80-119);423.07;37.27062868;3.547698235;37.43909621;5.437459589;;;;;260.174
SC;Walpon;26-Feb;T3 3H V R4;E03;V;3h;R4;10;9.82;25.56;24.62;1(80-119);426.37;19.86952073;-1.735110142;19.94513628;355.009294;;;;;242.316
SC;Walpon;26-Feb;T3 3H A R1;E03;A;3h;R1;1;10.82;24.93;26.72;1(120-159);425.20;28.80910004;-1.783971914;28.86428244;356.4565463;17.8;3.36;4.95;0.74;255.556
SC;Walpon;26-Feb;T3 3H A R1;E03;A;3h;R1;2;8.48;23.15;25.65;1(120-159);424.66;26.20184803;0.879318185;26.21659858;1.922090376;;;;;242.461
SC;Walpon;26-Feb;T3 3H A R1;E03;A;3h;R1;3;9.39;23.45;25.82;1(120-159);424.50;21.26427782;-3.952760148;21.62854189;349.469631;;;;;257.974
SC;Walpon;26-Feb;T3 3H A R1;E03;A;3h;R1;4;10.78;25.05;27.16;1(120-159);446.28;63.13360578;4.172398897;63.27132914;3.781087849;;;;;262.18
SC;Walpon;26-Feb;T3 3H A R1;E03;A;3h;R1;5;10.15;24.51;26.35;1(120-159);426.08;37.58611605;0.316201476;37.58744608;0.482001988;;;;;264.444
SC;Walpon;26-Feb;T3 3H A R1;E03;A;3h;R1;6;10.24;24.92;26.75;1(120-159);430.61;44.03126633;0.285411368;44.03219134;0.371386952;;;;;256.023
SC;Walpon;26-Feb;T3 3H A R1;E03;A;3h;R1;7;10.68;24.71;27.66;1(120-159);430.90;43.78093524;4.374951008;43.99898279;5.706521241;;;;;257.461
SC;Walpon;26-Feb;T3 3H A R1;E03;A;3h;R1;8;9.26;23.47;26.49;1(120-159);438.93;48.63402071;4.563402054;48.84764691;5.360452691;;;;;245.001
SC;Walpon;26-Feb;T3 3H A R1;E03;A;3h;R1;9;10.32;25.14;26.93;1(120-159);428.99;26.058014;-0.872784843;26.07262639;358.0816573;;;;;234.531
SC;Walpon;26-Feb;T3 3H A R1;E03;A;3h;R1;10;11.37;25.93;28.15;1(120-159);431.39;39.0190382;-3.17225071;39.14777793;355.3520713;;;;;259.154
SC;Walpon;26-Feb;T3 3H A R2;E03;A;3h;R2;1;7.79;21.38;25.07;1(120-159);432.25;58.97077225;4.74887355;59.16167493;4.60405238;18.8;3.45;4.35;0.65;224.326
SC;Walpon;26-Feb;T3 3H A R2;E03;A;3h;R2;2;8.08;22.23;26.99;1(120-159);443.26;75.32170147;17.29926788;77.28274957;12.93490146;;;;;232.26
SC;Walpon;26-Feb;T3 3H A R2;E03;A;3h;R2;3;6.08;20.27;24.42;1(120-159);434.15;90.97312456;17.9139238;92.720106;11.13984324;;;;;230.001
SC;Walpon;26-Feb;T3 3H A R2;E03;A;3h;R2;4;9.91;23.67;28.11;1(120-159);443.39;78.30562563;11.46843853;79.14098867;8.33215376;;;;;235.588
SC;Walpon;26-Feb;T3 3H A R2;E03;A;3h;R2;5;8.59;23.27;26.41;1(120-159);420.88;30.98382922;-3.798957211;31.21585734;353.0097988;;;;;228.592
SC;Walpon;26-Feb;T3 3H A R2;E03;A;3h;R2;6;7.74;22.17;26.4;1(120-159);436.15;46.74935787;5.294781728;47.04824306;6.461722496;;;;;249.026
SC;Walpon;26-Feb;T3 3H A R2;E03;A;3h;R2;7;9.75;24.38;26.39;1(120-159);434.10;51.39610151;8.715545859;52.12983781;9.624433207;;;;;227.695
SC;Walpon;26-Feb;T3 3H A R2;E03;A;3h;R2;8;8.18;22.23;25.33;1(120-159);431.29;29.87159234;1.643373151;29.91676293;3.148929037;;;;;247.868
SC;Walpon;26-Feb;T3 3H A R2;E03;A;3h;R2;9;8.17;23.03;25.87;1(120-159);427.06;24.41913731;-2.162720987;24.5147227;354.9387113;;;;;235.709
SC;Walpon;26-Feb;T3 3H A R2;E03;A;3h;R2;10;7.36;21.949;25.13;1(120-159);437.11;75.12540813;18.64668887;77.40494786;13.9395408;;;;;209.245
SC;Walpon;26-Feb;T3 3H A R3;E03;A;3h;R3;1;11.93;27.57;26.52;1(120-159);439.33;63.2851917;7.637384943;63.74437337;6.881292602;17.7;3.37;5.02;0.75;262.42
SC;Walpon;26-Feb;T3 3H A R2;E03;A;3h;R2;2;10.69;25.58;26.12;1(120-159);427.80;29.25545249;0.770919255;29.26560809;1.509469049;;;;;262.005
SC;Walpon;26-Feb;T3 3H A R3;E03;A;3h;R3;3;10.86;25.57;26.49;1(120-159);464.15;109.8723106;16.07442994;111.0419377;8.323381069;;;;;245.656
SC;Walpon;26-Feb;T3 3H A R3;E03;A;3h;R3;4;9.17;23.58;26.05;1(120-159);436.02;49.53565957;5.150574025;49.80271059;5.936117829;;;;;241.516
SC;Walpon;26-Feb;T3 3H A R3;E03;A;3h;R3;5;10.43;25.54;26.59;1(120-159);428.62;75.14755083;10.29494656;75.84945827;7.800757802;;;;;257.736
SC;Walpon;26-Feb;T3 3H A R3;E03;A;3h;R3;6;10.09;24.84;26.11;1(120-159);423.69;19.18987564;-4.955053152;19.81928049;345.5217921;;;;;278.824
SC;Walpon;26-Feb;T3 3H A R3;E03;A;3h;R3;7;8.56;23.73;24.7;1(120-159);424.58;18.37872528;-2.922997448;18.60971405;350.9632253;;;;;241.254
SC;Walpon;26-Feb;T3 3H A R3;E03;A;3h;R3;8;9.15;24.67;25.86;1(120-159);476.13;129.5888645;34.77605725;134.1739467;15.02178929;;;;;244.228
SC;Walpon;26-Feb;T3 3H A R3;E03;A;3h;R3;9;9.15;23.774;26.08;1(120-159);413.11;15.45537462;-7.024464222;16.97679894;335.5582145;;;;;247.303
SC;Walpon;26-Feb;T3 3H A R3;E03;A;3h;R3;10;8.55;23.33;24;1(120-159);463.34;116.5951728;32.08691238;120.9297493;15.38686802;;;;;249.255
SC;Walpon;26-Feb;T3 3H A R4;E03;A;3h;R4;1;9.22;24.39;24.73;1(120-159);447.61;103.005672;18.53299355;104.6596403;10.19964864;18.5;3.26;4.5;0.68;230.741
SC;Walpon;26-Feb;T3 3H A R4;E03;A;3h;R4;2;7.3;22.54;23.44;1(120-159);437.57;64.76083102;6.167405831;65.05384023;5.440075696;;;;;252.441
SC;Walpon;26-Feb;T3 3H A R4;E03;A;3h;R4;3;7.37;21.95;23.6;1(120-159);422.26;36.88054074;-1.92077078;36.93052458;357.0186793;;;;;223.041
SC;Walpon;26-Feb;T3 3H A R4;E03;A;3h;R4;4;7.88;22.56;25.08;1(120-159);430.74;49.25969362;1.921311978;49.29714855;2.233617132;;;;;251.998
SC;Walpon;26-Feb;T3 3H A R4;E03;A;3h;R4;5;6.95;21.54;23.7;1(120-159);428.75;34.58024618;0.78928761;34.58925268;1.30753835;;;;;220.356
SC;Walpon;26-Feb;T3 3H A R4;E03;A;3h;R4;6;7.21;21.79;24.92;1(120-159);440.53;80.8303955;12.89388441;81.85233712;9.0633348;;;;;223.379
SC;Walpon;26-Feb;T3 3H A R4;E03;A;3h;R4;7;6.83;21.37;23.58;1(120-159);428.04;38.7612148;-2.392485317;38.83498112;356.4679738;;;;;223.384
SC;Walpon;26-Feb;T3 3H A R4;E03;A;3h;R4;8;8.95;23.66;24.03;1(120-159);432.71;61.77465344;7.467986889;62.22442154;6.893082297;;;;;211.134
SC;Walpon;26-Feb;T3 3H A R4;E03;A;3h;R4;9;6.5;21.49;23.03;1(120-159);425.49;29.70609134;-1.742645364;29.75716175;356.6427113;;;;;219.902
SC;Walpon;26-Feb;T3 3H A R4;E03;A;3h;R4;10;5.81;20.86;21.81;1(120-159);428.14;28.56444018;-11.43044084;30.76657636;338.1905248;;;;;227.202
SC;Walpon;26-Feb;SC 18H V R1;E18;V;18h;R1;1;7.77;23.25;23.27;1(160-199);430.74;23.88017205;1.501256952;23.92731471;3.597237031;18.7;3.59;4.55;0.68;244.119
SC;Walpon;26-Feb;SC 18H V R1;E18;V;18h;R1;2;9.58;23.88;25.62;1(160-199);426.77;18.72413351;-1.24104516;18.76521699;356.2079529;;;;;247.031
SC;Walpon;26-Feb;SC 18H V R1;E18;V;18h;R1;3;9.73;23.88;26.33;1(160-199);432.56;35.96381792;4.863959966;36.29124282;7.702285808;;;;;234.907
SC;Walpon;26-Feb;SC 18H V R1;E18;V;18h;R1;4;8.27;22.57;25.16;1(160-199);430.84;43.238989;8.302423189;44.02885873;10.869212;;;;;235.192
SC;Walpon;26-Feb;SC 18H V R1;E18;V;18h;R1;5;9.16;23.38;26.8;1(160-199);437.04;64.13264355;11.78781056;65.20696624;10.41492358;;;;;226.901
SC;Walpon;26-Feb;SC 18H V R1;E18;V;18h;R1;6;9.53;24.2;24.93;1(160-199);425.49;45.61223929;5.889533747;45.99090106;7.357424805;;;;;246.931
SC;Walpon;26-Feb;SC 18H V R1;E18;V;18h;R1;7;7.95;21.97;25.53;1(160-199);436.07;46.22475074;7.578487544;46.84187288;9.310736297;;;;;227.858
SC;Walpon;26-Feb;SC 18H V R1;E18;V;18h;R1;8;8.1;22.01;25.12;1(160-199);424.87;30.30665194;-0.782369815;30.31674874;358.5212311;;;;;251.926
SC;Walpon;26-Feb;SC 18H V R1;E18;V;18h;R1;9;8.43;21.6;24.05;1(160-199);438.58;67.98380172;17.19863405;70.12553251;14.19690105;;;;;238.821
SC;Walpon;26-Feb;SC 18H V R1;E18;V;18h;R1;10;7.64;21.96;23.97;1(160-199);426.77;37.75276836;4.237459315;37.98983522;6.404208368;;;;;229.727
SC;Walpon;26-Feb;SC 18H V R2;E18;V;18h;R2;1;7.18;21.3;26.05;1(160-199);419.24;15.41287468;-5.802273801;16.46885203;339.370837;19.8;3.55;5;0.75;228.695
SC;Walpon;26-Feb;SC 18H V R2;E18;V;18h;R2;2;9.37;24.09;25.4;1(160-199);425.22;27.55326399;-1.116640223;27.57588153;357.6792666;;;;;222.974
SC;Walpon;26-Feb;SC 18H V R2;E18;V;18h;R2;3;7.3;21.07;24.76;1(160-199);425.60;16.99827414;-2.835178811;17.23309498;350.5306822;;;;;233.56
SC;Walpon;26-Feb;SC 18H V R2;E18;V;18h;R2;4;9.48;24.46;24.96;1(160-199);424.45;21.8411524;-2.105405603;21.94239438;354.4939132;;;;;246.143
SC;Walpon;26-Feb;SC 18H V R2;E18;V;18h;R2;5;7.59;22.27;24.34;1(160-199);424.37;19.18789395;-1.543394555;19.249866;355.4012661;;;;;247.398
SC;Walpon;26-Feb;SC 18H V R2;E18;V;18h;R2;6;8.2;23.07;24.9;1(160-199);422.86;18.84333757;-3.323603893;19.13420272;349.9970066;;;;;252.592
SC;Walpon;26-Feb;SC 18H V R2;E18;V;18h;R2;7;10.33;24.64;25.36;1(160-199);419.21;21.21446807;-2.681071279;21.38321301;352.7971803;;;;;238.688
SC;Walpon;26-Feb;SC 18H V R2;E18;V;18h;R2;8;8.77;23.89;25.16;1(160-199);430.43;26.34682168;-5.585303061;26.93233415;348.030978;;;;;227.32
SC;Walpon;26-Feb;SC 18H V R2;E18;V;18h;R2;9;7.3;22.37;24.03;1(160-199);420.17;17.19744093;-4.826141657;17.86179212;344.3242134;;;;;225.224
SC;Walpon;26-Feb;SC 18H V R2;E18;V;18h;R2;10;7.42;21.36;24.42;1(160-199);425.04;13.98688598;-3.145340431;14.33618309;347.3262797;;;;;218.482
SC;Walpon;26-Feb;SC 18H V R3;E18;V;18h;R3;1;9.95;21.82;28.32;1(160-199);417.33;34.95018666;0.09836823;34.95032509;0.16126007;19.2;3.49;5.8;0.87;250.012
SC;Walpon;26-Feb;SC 18H V R3;E18;V;18h;R3;2;8.95;25.48;25.98;1(160-199);429.43;46.80052232;4.782899429;47.04428782;5.835230386;;;;;241.743
SC;Walpon;26-Feb;SC 18H V R3;E18;V;18h;R3;3;9.2;23.61;26.49;1(160-199);421.77;32.66429723;-4.448612917;32.96583793;352.244494;;;;;242.089
SC;Walpon;26-Feb;SC 18H V R3;E18;V;18h;R3;4;7.62;22.3;23.69;1(160-199);423.83;26.00037435;-2.547633448;26.12489048;354.4037663;;;;;232.764
SC;Walpon;26-Feb;SC 18H V R3;E18;V;18h;R3;5;9.16;23.5;26.27;1(160-199);430.61;52.10667934;6.928295113;52.5652671;7.573831951;;;;;233.132
SC;Walpon;26-Feb;SC 18H V R3;E18;V;18h;R3;6;10.18;24.16;27.22;1(160-199);430.37;47.56074835;3.129880979;47.6636228;3.765095669;;;;;237.998
SC;Walpon;26-Feb;SC 18H V R3;E18;V;18h;R3;7;8.12;23;24.54;1(160-199);435.72;51.06653033;11.87843527;52.42983639;13.09455193;;;;;250.559
SC;Walpon;26-Feb;SC 18H V R3;E18;V;18h;R3;8;11.23;25.3;28.86;1(160-199);430.87;50.76557496;3.217298402;50.86742189;3.6263042;;;;;248.197
SC;Walpon;26-Feb;SC 18H V R3;E18;V;18h;R3;9;10.3;24.37;26.4;1(160-199);429.48;39.18802009;2.865079424;39.29261506;4.181517905;;;;;258.584
SC;Walpon;26-Feb;SC 18H V R3;E18;V;18h;R3;10;10;24.28;27.3;1(160-199);424.23;31.71108205;-2.280996864;31.79301293;355.8857667;;;;;259.931
SC;Walpon;26-Feb;SC 18H V R4;E18;V;18h;R4;1;8.16;22.8;25.23;1(160-199);428.99;25.60827725;-1.025676484;25.62880949;357.7063846;18.9;3.44;4.45;0.67;241.949
SC;Walpon;26-Feb;SC 18H V R4;E18;V;18h;R4;2;9.86;24.51;26.01;1(160-199);437.34;71.76459914;15.44968622;73.4087903;12.14936843;;;;;247.255
SC;Walpon;26-Feb;SC 18H V R4;E18;V;18h;R4;3;8.89;23.63;25.41;1(160-199);429.46;31.07758914;0.209521788;31.07829542;0.386276176;;;;;232.595
SC;Walpon;26-Feb;SC 18H V R4;E18;V;18h;R4;4;9.21;23.71;27.1;1(160-199);430.16;60.95133966;6.279179392;61.27392512;5.88183578;;;;;258.187
SC;Walpon;26-Feb;SC 18H V R4;E18;V;18h;R4;5;9.5;24.27;26.18;1(160-199);431.75;40.73894813;1.422661993;40.76378126;2.000037331;;;;;243.43
SC;Walpon;26-Feb;SC 18H V R4;E18;V;18h;R4;6;9.6;24.2;25.29;1(160-199);430.45;59.0651097;8.677828115;59.69917826;8.358083436;;;;;241.388
SC;Walpon;26-Feb;SC 18H V R4;E18;V;18h;R4;7;7.23;21.78;24.49;1(160-199);419.81;15.53899579;-8.029561446;17.49097617;332.6729648;;;;;240.147
SC;Walpon;26-Feb;SC 18H V R4;E18;V;18h;R4;8;7.85;23.53;25.46;1(160-199);425.22;26.75401984;0.636077771;26.76158016;1.361952613;;;;;219.849
SC;Walpon;26-Feb;SC 18H V R4;E18;V;18h;R4;9;8.71;21.51;24.49;1(160-199);431.31;46.57279374;2.756114913;46.65427403;3.386736809;;;;;244.261
SC;Walpon;26-Feb;SC 18H V R4;E18;V;18h;R4;10;7.33;22.11;23.81;1(160-199);425.20;16.99540558;-2.713951973;17.21073346;350.927188;;;;;249.159
SC;Walpon;26-Feb;SC 18H A R1;E18;A;18h;R1;1;11.49;25.11;27.11;1(200-239);440.78;87.6205;20.23349426;89.92633824;13.00292273;17.9;3.39;4.07;0.61;264.269
SC;Walpon;26-Feb;SC 18H A R1;E18;A;18h;R1;2;7.51;21.96;24.77;1(200-239);439.08;69.22088939;2.714906631;69.27410949;2.2460417;;;;;250.971
SC;Walpon;26-Feb;SC 18H A R1;E18;A;18h;R1;3;9.72;23.71;26.99;1(200-239);435.20;66.58625008;7.752583266;67.03604439;6.641001068;;;;;265.878
SC;Walpon;26-Feb;SC 18H A R1;E18;A;18h;R1;4;8.76;22.94;26.04;1(200-239);432.79;43.03390691;0.898176422;43.04327897;1.195667589;;;;;244.01
SC;Walpon;26-Feb;SC 18H A R1;E18;A;18h;R1;5;10.5;25.05;26.89;1(200-239);432.17;54.9020795;7.994039586;55.48101479;8.284357242;;;;;234.791
SC;Walpon;26-Feb;SC 18H A R1;E18;A;18h;R1;6;8.9;23.66;25.86;1(200-239);428.80;41.90932389;2.304813679;41.97265295;3.147824675;;;;;258.44
SC;Walpon;26-Feb;SC 18H A R1;E18;A;18h;R1;7;9.7;24.35;26.14;1(200-239);425.70;59.02055475;14.20866106;60.70677007;13.53586462;;;;;250.546
SC;Walpon;26-Feb;SC 18H A R1;E18;A;18h;R1;8;9.36;23.89;25.81;1(200-239);427.43;41.0465784;1.447413059;41.07209032;2.01956691;;;;;245.354
SC;Walpon;26-Feb;SC 18H A R1;E18;A;18h;R1;9;9.24;24.59;27.3;1(200-239);440.81;84.69642669;21.61957389;87.41218833;14.3195155;;;;;226.904
SC;Walpon;26-Feb;SC 18H A R1;E18;A;18h;R1;10;11.7;25.74;26.71;1(200-239);426.40;31.92464751;0.439452167;31.92767196;0.788643455;;;;;246.165
SC;Walpon;26-Feb;SC 18H A R2;E18;A;18h;R2;1;8.08;22.69;24.4;1(200-239);425.06;17.22537183;-4.797640749;17.88101762;344.4363235;18.7;3.24;4.06;0.61;234.674
SC;Walpon;26-Feb;SC 18H A R2;E18;A;18h;R2;2;6.99;21.66;24.6;1(200-239);431.16;41.3441936;1.800168347;41.38336562;2.493141943;;;;;243.669
SC;Walpon;26-Feb;SC 18H A R2;E18;A;18h;R2;3;6.53;21.14;23.14;1(200-239);420.11;19.67318175;-3.816334586;20.0399224;349.0217355;;;;;236.857
SC;Walpon;26-Feb;SC 18H A R2;E18;A;18h;R2;4;9;23.49;25.85;1(200-239);426.34;29.66414466;-3.744323085;29.8995223;352.8059504;;;;;248.736
SC;Walpon;26-Feb;SC 18H A R2;E18;A;18h;R2;5;7.63;22.53;23.58;1(200-239);430.37;20.18637665;-5.67533701;20.96900695;344.296837;;;;;234.553
SC;Walpon;26-Feb;SC 18H A R2;E18;A;18h;R2;6;8.39;22.61;24.98;1(200-239);434.18;61.29507259;6.937781075;61.68645499;6.457631574;;;;;229.543
SC;Walpon;26-Feb;SC 18H A R2;E18;A;18h;R2;7;9.37;23.31;26.72;1(200-239);459.92;129.1987746;26.26005138;131.8404856;11.48903991;;;;;225.283
SC;Walpon;26-Feb;SC 18H A R2;E18;A;18h;R2;8;9.38;23.95;25.6;1(200-239);436.71;89.80527585;14.54909224;90.97617082;9.202369524;;;;;218.476
SC;Walpon;26-Feb;SC 18H A R2;E18;A;18h;R2;9;8.29;22.88;25;1(200-239);422.61;25.11561714;-2.060108192;25.19996567;355.310812;;;;;240.255
SC;Walpon;26-Feb;SC 18H A R2;E18;A;18h;R2;10;9.8;23.01;23.78;1(200-239);430.50;40.30842051;0.410132258;40.31050697;0.582956024;;;;;224.068
SC;Walpon;26-Feb;SC 18H A R3;E18;A;18h;R3;1;6.59;21.07;24.13;1(200-239);478.69;147.5922394;42.137715;153.4895963;15.9340911;16.7;3.17;5.05;0.76;206.341
SC;Walpon;26-Feb;SC 18H A R3;E18;A;18h;R3;2;9.03;23.53;26.27;1(200-239);450.05;89.72840841;22.68932442;92.55264836;14.19072568;;;;;226.986
SC;Walpon;26-Feb;SC 18H A R3;E18;A;18h;R3;3;9.21;24.05;25.82;1(200-239);431.81;48.3602595;-1.816152869;48.39434998;357.8492875;;;;;221.547
SC;Walpon;26-Feb;SC 18H A R3;E18;A;18h;R3;4;5.85;20.63;21.48;1(200-239);439.03;98.58313531;20.48236056;100.6884386;11.73720801;;;;;214.347
SC;Walpon;26-Feb;SC 18H A R3;E18;A;18h;R3;5;6.81;20.58;23.58;1(200-239);488.00;150.2371371;47.78347878;157.6529677;17.64345868;;;;;239.171
SC;Walpon;26-Feb;SC 18H A R3;E18;A;18h;R3;6;6.58;21.31;23.94;1(200-239);446.81;116.4139579;24.586044;118.9818607;11.92533899;;;;;247.006
SC;Walpon;26-Feb;SC 18H A R3;E18;A;18h;R3;7;9.98;21.92;23.52;1(200-239);451.45;109.479442;22.50109742;111.767829;11.61415866;;;;;225.072
SC;Walpon;26-Feb;SC 18H A R3;E18;A;18h;R3;8;8.13;22.25;26.38;1(200-239);455.40;113.3649994;26.62616601;116.4498854;13.21755395;;;;;214.853
SC;Walpon;26-Feb;SC 18H A R3;E18;A;18h;R3;9;6.61;21.49;23.34;1(200-239);462.36;127.734328;31.65766382;131.5988839;13.91970037;;;;;240.481
SC;Walpon;26-Feb;SC 18H A R3;E18;A;18h;R3;10;8.52;22.87;25;1(200-239);433.41;56.42280373;5.188521197;56.66086421;5.254021669;;;;;217.668
SC;Walpon;26-Feb;SC 18H A R4;E18;A;18h;R4;1;10.12;25.09;26.45;1(200-239);445.50;92.31073416;25.38474122;95.73743639;15.37584116;17.4;3.46;5.5;0.83;265.98
SC;Walpon;26-Feb;SC 18H A R4;E18;A;18h;R4;2;8.77;25.48;25.81;1(200-239);436.40;36.65179961;2.138289535;36.71412122;3.338887903;;;;;236.132
SC;Walpon;26-Feb;SC 18H A R4;E18;A;18h;R4;3;11.07;25.06;27.16;1(200-239);430.56;44.5848383;3.75216045;44.74244645;4.810549302;;;;;256.966
SC;Walpon;26-Feb;SC 18H A R4;E18;A;18h;R4;4;12.45;26.06;28.3;1(200-239);427.22;48.84543893;2.440347182;48.90636154;2.860153099;;;;;258.71
SC;Walpon;26-Feb;SC 18H A R4;E18;A;18h;R4;5;7.21;22.19;23.15;1(200-239);465.44;115.7307965;33.45653427;120.4697346;16.12401557;;;;;230.781
SC;Walpon;26-Feb;SC 18H A R4;E18;A;18h;R4;6;10.53;24.93;27.21;1(200-239);425.89;35.459663;-1.169141773;35.47893167;358.111583;;;;;236.204
SC;Walpon;26-Feb;SC 18H A R4;E18;A;18h;R4;7;11.1;25.84;27.84;1(200-239);445.57;86.48922458;19.47665801;88.65509673;12.69083898;;;;;251.329
SC;Walpon;26-Feb;SC 18H A R4;E18;A;18h;R4;8;8.91;23.5;26.54;1(200-239);423.72;30.36731144;-3.589305873;30.57869717;353.2591218;;;;;251.532
SC;Walpon;26-Feb;SC 18H A R4;E18;A;18h;R4;9;8.03;23.71;25.13;1(200-239);429.12;31.20788066;-6.225595114;31.82278821;348.718282;;;;;266.803
SC;Walpon;26-Feb;SC 18H A R4;E18;A;18h;R4;10;11.21;25.83;27.7;1(200-239);442.99;73.57007348;14.58187788;75.00124582;11.21094926;;;;;230.805
AL;Los Bronces;6-Mar;V 0h T0 R1;E00;V;0h;R1;1;11.81;24.36;30.68;0(00-39);435.306762;54.42159365;9.414543532;55.22991477;9.814620518;18.8;3.49;4.55;0.68;316.5
AL;Los Bronces;6-Mar;V 0h T0 R1;E00;V;0h;R1;2;10.24;23.32;29.93;0(00-39);438.9054068;70.08222157;20.38159755;72.98580204;16.21570282;;;;;313.2
AL;Los Bronces;6-Mar;V 0h T0 R1;E00;V;0h;R1;3;12.29;25.69;29.7;0(00-39);425.6765568;31.96714148;4.83032492;32.33001969;8.592551566;;;;;328.8
AL;Los Bronces;6-Mar;V 0h T0 R1;E00;V;0h;R1;4;11.31;24.41;30.67;0(00-39);432.3497333;54.87402017;11.98831554;56.16829888;12.32376458;;;;;261.4
AL;Los Bronces;6-Mar;V 0h T0 R1;E00;V;0h;R1;5;10.56;22.52;31.35;0(00-39);449.1330642;48.41071311;0.576158758;48.41414156;0.681871936;;;;;268.7
AL;Los Bronces;6-Mar;V 0h T0 R1;E00;V;0h;R1;6;10.49;23.39;29.21;0(00-39);447.2738642;44.66797126;-1.996691797;44.7125758;357.4405395;;;;;330.3
AL;Los Bronces;6-Mar;V 0h T0 R1;E00;V;0h;R1;7;11.59;24.7;29.67;0(00-39);428.0376572;49.17885595;11.78780182;50.57185131;13.479072;;;;;357.6
AL;Los Bronces;6-Mar;V 0h T0 R1;E00;V;0h;R1;8;11.24;22.87;30.05;0(00-39);431.4939535;42.18635103;8.454414879;43.02517106;11.33232033;;;;;325.7
AL;Los Bronces;6-Mar;V 0h T0 R1;E00;V;0h;R1;9;11.97;24.41;31.72;0(00-39);431.3120031;28.87240225;-0.77949672;28.88292276;358.453505;;;;;310.8
AL;Los Bronces;6-Mar;V 0h T0 R1;E00;V;0h;R1;10;10.42;22.83;30.92;0(00-39);430.9737019;41.91040111;4.81720928;42.18633934;6.556840979;;;;;314.5
AL;Los Bronces;6-Mar;V 0h T0 R2;E00;V;0h;R2;1;9.09;22.66;28.14;0(00-39);433.9487852;38.68786394;6.958712067;39.30870756;10.19665268;18.3;3.51;3.95;0.59;352.3
AL;Los Bronces;6-Mar;V 0h T0 R2;E00;V;0h;R2;2;10.49;21.99;33.29;0(00-39);445.8879004;51.76261399;14.00791715;53.6245275;15.14259564;;;;;326.4
AL;Los Bronces;6-Mar;V 0h T0 R2;E00;V;0h;R2;3;10.15;23.45;29.66;0(00-39);434.9232584;47.96731903;9.976708421;48.9938609;11.74941804;;;;;403.5
AL;Los Bronces;6-Mar;V 0h T0 R2;E00;V;0h;R2;4;12.04;23.87;23.19;0(00-39);436.783545;32.85434501;-1.983931938;32.91419104;356.5443516;;;;;346.7
AL;Los Bronces;6-Mar;V 0h T0 R2;E00;V;0h;R2;5;9.59;22.46;29.64;0(00-39);439.1064589;58.13353128;16.57694693;60.45082819;15.91565574;;;;;295.5
AL;Los Bronces;6-Mar;V 0h T0 R2;E00;V;0h;R2;6;9.84;23.53;28.84;0(00-39);428.9856145;45.8642022;6.538761256;46.32796609;8.113858624;;;;;321
