VARIABLES;Productor;Variedad;Tiempo;Total_racimo;Color;Tratamientos;Repeticion ;N_Racimo ;VERDE;AMARILLO ;PARDO ;TOTAL ;Verde;Amarillo ;Pardo ;Nota_6;Hue
SC_A_18H_T10-3_E0_R__0001.JPG;Palo alto;SC;T0;1;A;18;R1;1;526579;111796;7260;645635;81.56;17.32;1.12;;36.06
SC_A_18H_T10-3_E0_R__0002.JPG;Palo alto;SC;T0;2;A;18;R1;2;362873;62400;3714;428987;84.59;14.55;0.87;;36.25
SC_A_18H_T10-3_E0_R__0003.JPG;Palo alto;SC;T0;3;A;18;R2;1;547133;153169;18984;719286;76.07;21.29;2.64;;35.12
SC_A_18H_T10-3_E0_R__0004.JPG;Palo alto;SC;T0;4;A;18;R2;2;339985;85562;6049;431596;78.77;19.82;1.4;;35.44
SC_A_18H_T10-3_E0_R__0005.JPG;Palo alto;SC;T0;5;A;18;R3;1;331911;41092;4326;377329;87.96;10.89;1.15;;37.42
SC_A_18H_T10-3_E0_R__0006.JPG;Palo alto;SC;T0;6;A;18;R3;2;283802;27920;2170;313892;90.41;8.89;0.69;;38.12
SC_A_18H_T10-3_E0_R__0007.JPG;Palo alto;SC;T0;7;A;18;R4;1;299626;79524;8212;387362;77.35;20.53;2.12;;35.52
SC_A_18H_T10-3_E0_R__0008.JPG;Palo alto;SC;T0;8;A;18;R4;2;361628;61748;3925;427301;84.63;14.45;0.92;;36.25
SC_A_3H_T10-3_E0_R__0001.JPG;Palo alto;SC;T0;1;A;3H;R1;1;610383;96801;3413;710597;85.9;13.62;0.48;;36.61
SC_A_3H_T10-3_E0_R__0002.JPG;Palo alto;SC;T0;2;A;3H;R1;2;779842;97052;6840;883734;88.24;10.98;0.77;;37.18
SC_A_3H_T10-3_E0_R__0003.JPG;Palo alto;SC;T0;3;A;3H;R2;1;641334;84101;3706;729141;87.96;11.53;0.51;;36.34
SC_A_3H_T10-3_E0_R__0004.JPG;Palo alto;SC;T0;4;A;3H;R2;2;556880;101113;7582;665575;83.67;15.19;1.14;;35.71
SC_A_3H_T10-3_E0_R__0005.JPG;Palo alto;SC;T0;5;A;3H;R3;1;708468;88560;5364;802392;88.29;11.04;0.67;;37.29
SC_A_3H_T10-3_E0_R__0006.JPG;Palo alto;SC;T0;6;A;3H;R3;2;546816;61637;3927;612380;89.29;10.07;0.64;;37.19
SC_A_3H_T10-3_E0_R__0007.JPG;Palo alto;SC;T0;7;A;3H;R4;1;559991;103721;5078;668790;83.73;15.51;0.76;;36.51
SC_A_3H_T10-3_E0_R__0008.JPG;Palo alto;SC;T0;8;A;3H;R4;2;473697;37263;2071;513031;92.33;7.26;0.4;;38.13
SC_V_18H_T10-3_E0_R__0001.JPG;Palo alto;SC;T0;1;V;18;R1;1;482842;81715;8677;573234;84.23;14.26;1.51;;36.74
SC_V_18H_T10-3_E0_R__0002.JPG;Palo alto;SC;T0;2;V;18;R1;2;609439;79079;9643;698161;87.29;11.33;1.38;;37.09
SC_V_18H_T10-3_E0_R__0003.JPG;Palo alto;SC;T0;3;V;18;R2;1;295101;85153;5202;385456;76.56;22.09;1.35;;35.31
SC_V_18H_T10-3_E0_R__0004.JPG;Palo alto;SC;T0;4;V;18;R2;2;517691;123927;9587;651205;79.5;19.03;1.47;;35.65
SC_V_18H_T10-3_E0_R__0005.JPG;Palo alto;SC;T0;5;V;18;R3;1;760821;159256;9578;929655;81.84;17.13;1.03;;36.19
SC_V_18H_T10-3_E0_R__0006.JPG;Palo alto;SC;T0;6;V;18;R3;2;611264;68330;3694;683288;89.46;10;0.54;;37.35
SC_V_18H_T10-3_E0_R__0007.JPG;Palo alto;SC;T0;7;V;18;R4;1;511510;98789;6214;616513;82.97;16.02;1.01;;36.53
SC_V_18H_T10-3_E0_R__0008.JPG;Palo alto;SC;T0;8;V;18;R4;2;570447;60127;5682;636256;89.66;9.45;0.89;;37.64
SC_V_3H_T10-3_E0_R__0001.JPG;Palo alto;SC;T0;1;V;3H;R1;1;476004;37449;3443;516896;92.09;7.24;0.67;;37.88
SC_V_3H_T10-3_E0_R__0002.JPG;Palo alto;SC;T0;2;V;3H;R1;2;536410;92006;6512;634928;84.48;14.49;1.03;;36.5
SC_V_3H_T10-3_E0_R__0003.JPG;Palo alto;SC;T0;3;V;3H;R2;1;707603;64070;3170;774843;91.32;8.27;0.41;;38.01
SC_V_3H_T10-3_E0_R__0004.JPG;Palo alto;SC;T0;4;V;3H;R2;2;382208;49050;3576;434834;87.9;11.28;0.82;;37.41
SC_V_3H_T10-3_E0_R__0005.JPG;Palo alto;SC;T0;5;V;3H;R3;1;741798;82527;5205;829530;89.42;9.95;0.63;;37.23
SC_V_3H_T10-3_E0_R__0006.JPG;Palo alto;SC;T0;6;V;3H;R3;2;604633;97196;12862;714691;84.6;13.6;1.8;;36.47
SC_V_3H_T10-3_E0_R__0007.JPG;Palo alto;SC;T0;7;V;3H;R4;1;534536;61827;3770;600133;89.07;10.3;0.63;;37.56
SC_V_3H_T10-3_E0_R__0008.JPG;Palo alto;SC;T0;8;V;3H;R4;2;561020;61455;3336;625811;89.65;9.82;0.53;;37.41
SC_A_18H_T10-3_R_0001.JPG;Palo alto;SC;T5;1;A;18;R1;1;444536;118419;39822;602777;73.75;19.65;6.61;;
SC_A_18H_T10-3_R_0002.JPG;Palo alto;SC;T5;2;A;18;R1;2;211988;141172;35894;389054;54.49;36.29;9.23;;
SC_A_18H_T10-3_R_0003.JPG;Palo alto;SC;T5;3;A;18;R2;1;410129;175461;90465;676055;60.67;25.95;13.38;;
SC_A_18H_T10-3_R_0004.JPG;Palo alto;SC;T5;4;A;18;R2;2;246226;103017;51879;401122;61.38;25.68;12.93;;
SC_A_18H_T10-3_R_0005.JPG;Palo alto;SC;T5;5;A;18;R3;1;257481;72919;22527;352927;72.96;20.66;6.38;;
SC_A_18H_T10-3_R_0006.JPG;Palo alto;SC;T5;6;A;18;R3;2;239024;42245;9197;290466;82.29;14.54;3.17;;
SC_A_18H_T10-3_R_0007.JPG;Palo alto;SC;T5;7;A;18;R4;1;207253;98884;46869;353006;58.71;28.01;13.28;;
SC_A_18H_T10-3_R_0008.JPG;Palo alto;SC;T5;8;A;18;R4;2;200264;135728;45796;381788;52.45;35.55;12;;
SC_A_3H_T10-3_R_0001.JPG;Palo alto;SC;T5;1;A;3H;R1;1;499240;148628;15681;663549;75.24;22.4;2.36;;
SC_A_3H_T10-3_R_0002.JPG;Palo alto;SC;T5;2;A;3H;R1;2;701441;124112;27225;852778;82.25;14.55;3.19;;
SC_A_3H_T10-3_R_0003.JPG;Palo alto;SC;T5;3;A;3H;R2;1;513368;148993;23295;685656;74.87;21.73;3.4;;
SC_A_3H_T10-3_R_0004.JPG;Palo alto;SC;T5;4;A;3H;R2;2;459555;158383;44691;662629;69.35;23.9;6.74;;
SC_A_3H_T10-3_R_0005.JPG;Palo alto;SC;T5;5;A;3H;R3;1;573518;140578;28619;742715;77.22;18.93;3.85;;
SC_A_3H_T10-3_R_0006.JPG;Palo alto;SC;T5;6;A;3H;R3;2;433616;113870;26695;574181;75.52;19.83;4.65;;
SC_A_3H_T10-3_R_0007.JPG;Palo alto;SC;T5;7;A;3H;R4;1;457063;162881;47692;667636;68.46;24.4;7.14;;
SC_A_3H_T10-3_R_0008.JPG;Palo alto;SC;T5;8;A;3H;R4;2;386382;80113;10172;476667;81.06;16.81;2.13;;
SC_V_18H_T10-3_R_0001.JPG;Palo alto;SC;T5;1;V;18;R1;1;372635;122327;44459;539421;69.08;22.68;8.24;;
SC_V_18H_T10-3_R_0002.JPG;Palo alto;SC;T5;2;V;18;R1;2;504516;110373;43476;658365;76.63;16.76;6.6;;
SC_V_18H_T10-3_R_0003.JPG;Palo alto;SC;T5;3;V;18;R2;1;221456;108612;50230;380298;58.23;28.56;13.21;;
SC_V_18H_T10-3_R_0004.JPG;Palo alto;SC;T5;4;V;18;R2;2;378401;137516;70931;586848;64.48;23.43;12.09;;
SC_V_18H_T10-3_R_0005.JPG;Palo alto;SC;T5;5;V;18;R3;1;556156;196176;88771;841103;66.12;23.32;10.55;;
SC_V_18H_T10-3_R_0006.JPG;Palo alto;SC;T5;6;V;18;R3;2;447750;118047;37833;603630;74.18;19.56;6.27;;
SC_V_18H_T10-3_R_0007.JPG;Palo alto;SC;T5;7;V;18;R4;1;414377;117407;41696;573480;72.26;20.47;7.27;;
SC_V_18H_T10-3_R_0008.JPG;Palo alto;SC;T5;8;V;18;R4;2;433477;131040;32607;597124;72.59;21.95;5.46;;
SC_V_3H_T10-3_R_0001.JPG;Palo alto;SC;T5;1;V;3H;R1;1;421817;73354;12203;507374;83.14;14.46;2.41;;
SC_V_3H_T10-3_R_0002.JPG;Palo alto;SC;T5;2;V;3H;R1;2;453121;119263;26350;598734;75.68;19.92;4.4;;
SC_V_3H_T10-3_R_0003.JPG;Palo alto;SC;T5;3;V;3H;R2;1;552839;137824;24692;715355;77.28;19.27;3.45;;
SC_V_3H_T10-3_R_0004.JPG;Palo alto;SC;T5;4;V;3H;R2;2;623713;116616;11838;752167;82.92;15.5;1.57;;
SC_V_3H_T10-3_R_0005.JPG;Palo alto;SC;T5;5;V;3H;R3;1;306426;41519;6841;354786;86.37;11.7;1.93;;
SC_V_3H_T10-3_R_0006.JPG;Palo alto;SC;T5;6;V;3H;R3;2;638482;147108;18892;804482;79.37;18.29;2.35;;
SC_V_3H_T10-3_R_0007.JPG;Palo alto;SC;T5;7;V;3H;R4;1;453742;99670;19166;572578;79.25;17.41;3.35;;
SC_V_3H_T10-3_R_0008.JPG;Palo alto;SC;T5;8;V;3H;R4;2;443121;105860;20070;569051;77.87;18.6;3.53;;
SC_18H_A_T10-3_0001.JPG;Palo alto;SC;T7;1;A;18;R1;1;441869;115303;54101;611273;72.29;18.86;8.85;;
SC_18H_A_T10-3_R_0002.JPG;Palo alto;SC;T7;2;A;18;R1;2;196733;136574;59233;392540;50.12;34.79;15.09;;
SC_18H_A_T10-3_R_0003.JPG;Palo alto;SC;T7;3;A;18;R2;1;386294;170237;114855;671386;57.54;25.36;17.11;;
SC_18H_A_T10-3_R_0004.JPG;Palo alto;SC;T7;4;A;18;R2;2;217517;101327;69840;388684;55.96;26.07;17.97;;
SC_18H_A_T10-3_R_0005.JPG;Palo alto;SC;T7;5;A;18;R3;1;233132;76523;34185;343840;67.8;22.26;9.94;;
SC_18H_A_T10-3_R_0006.JPG;Palo alto;SC;T7;6;A;18;R3;2;219025;43456;12574;275055;79.63;15.8;4.57;;
SC_18H_A_T10-3_R_0007.JPG;Palo alto;SC;T7;7;A;18;R4;1;180792;99973;57821;338586;53.4;29.53;17.08;;
SC_18H_A_T10-3_R_0008.JPG;Palo alto;SC;T7;8;A;18;R4;2;144125;111923;63034;319082;45.17;35.08;19.75;;
SC_18H_V_T10-3_R_0001.JPG;Palo alto;SC;T7;1;V;18;R1;1;334600;116803;57640;509043;65.73;22.95;11.32;;
SC_18H_V_T10-3_R_0002.JPG;Palo alto;SC;T7;2;V;18;R1;2;467875;114367;66028;648270;72.17;17.64;10.19;;
SC_18H_V_T10-3_R_0003.JPG;Palo alto;SC;T7;3;V;18;R2;1;201711;105843;67060;374614;53.85;28.25;17.9;;
SC_18H_V_T10-3_R_0004.JPG;Palo alto;SC;T7;4;V;18;R2;2;362613;123363;90733;576709;62.88;21.39;15.73;;
SC_18H_V_T10-3_R_0005.JPG;Palo alto;SC;T7;5;V;18;R3;1;553789;199083;124909;877781;63.09;22.68;14.23;;
SC_18H_V_T10-3_R_0006.JPG;Palo alto;SC;T7;6;V;18;R3;2;426436;125283;64254;615973;69.23;20.34;10.43;;
SC_18H_V_T10-3_R_0007.JPG;Palo alto;SC;T7;7;V;18;R4;1;397023;135596;53149;585768;67.78;23.15;9.07;;
SC_18H_V_T10-3_R_008.JPG;Palo alto;SC;T7;8;V;18;R4;2;133386;38603;19902;191891;69.51;20.12;10.37;;
SC_3H_A_T7-0_R_0001.JPG;Palo alto;SC;T7;1;A;3H;R1;1;487230;160109;24153;671492;72.56;23.84;3.6;;
SC_3H_A_T7-0_R_0002.JPG;Palo alto;SC;T7;2;A;3H;R1;2;693595;123834;36994;854423;81.18;14.49;4.33;;
SC_3H_A_T7-0_R_0003.JPG;Palo alto;SC;T7;3;A;3H;R2;1;532732;167946;39943;740621;71.93;22.68;5.39;;
SC_3H_A_T7-0_R_0004.JPG;Palo alto;SC;T7;4;A;3H;R2;2;437116;158748;58785;654649;66.77;24.25;8.98;;
SC_3H_A_T7-0_R_0005.JPG;Palo alto;SC;T7;5;A;3H;R3;1;568027;151447;48710;768184;73.94;19.71;6.34;;
SC_3H_A_T7-0_R_0006.JPG;Palo alto;SC;T7;6;A;3H;R3;2;419922;121702;38711;580335;72.36;20.97;6.67;;
SC_3H_A_T7-0_R_0007.JPG;Palo alto;SC;T7;7;A;3H;R4;1;422212;160849;53152;636213;66.36;25.28;8.35;;
SC_3H_A_T7-0_R_0008.JPG;Palo alto;SC;T7;8;A;3H;R4;2;393896;92175;15476;501547;78.54;18.38;3.09;;
SC_3H_V_T7-0_R_0001.JPG;Palo alto;SC;T7;1;V;3H;R1;1;397134;76596;13441;487171;81.52;15.72;2.76;;
SC_3H_V_T7-0_R_0002.JPG;Palo alto;SC;T7;2;V;3H;R1;2;437226;122096;34945;594267;73.57;20.55;5.88;;
SC_3H_V_T7-0_R_0003.JPG;Palo alto;SC;T7;3;V;3H;R2;1;521132;140629;23876;685637;76.01;20.51;3.48;;
SC_3H_V_T7-0_R_0004.JPG;Palo alto;SC;T7;4;V;3H;R2;2;598515;120586;17349;736450;81.27;16.37;2.36;;
SC_3H_V_T7-0_R_0005.JPG;Palo alto;SC;T7;5;V;3H;R3;1;319013;60096;12294;391403;81.5;15.35;3.14;;
SC_3H_V_T7-0_R_0006.JPG;Palo alto;SC;T7;6;V;3H;R3;2;602288;148652;21916;772856;77.93;19.23;2.84;;
SC_3H_V_T7-0_R_0007.JPG;Palo alto;SC;T7;7;V;3H;R4;1;443349;99877;23352;566578;78.25;17.63;4.12;;
SC_3H_V_T7-0_R_0008.JPG;Palo alto;SC;T7;8;V;3H;R4;2;432466;116179;30568;579213;74.66;20.06;5.28;;
SC_18H_A_T10-3_R_0001.JPG;Palo alto;SC;T10;1;A;18;R1;1;397822;117685;67099;582606;68.28;20.2;11.52;;33.27
SC_18H_A_T10-3_R_0002.JPG;Palo alto;SC;T10;2;A;18;R1;2;173577;134623;67499;375699;46.2;35.83;17.97;;30.15
SC_18H_A_T10-3_R_0003.JPG;Palo alto;SC;T10;3;A;18;R2;1;318844;149529;110409;578782;55.09;25.84;19.08;;30.76
SC_18H_A_T10-3_R_0004.JPG;Palo alto;SC;T10;4;A;18;R2;2;185328;96711;86066;368105;50.35;26.27;23.38;;29.89
SC_18H_A_T10-3_R_0005.JPG;Palo alto;SC;T10;5;A;18;R3;1;204145;80826;41602;326573;62.51;24.75;12.74;;33.08
SC_18H_A_T10-3_R_0006.JPG;Palo alto;SC;T10;6;A;18;R3;2;190815;41816;15388;248019;76.94;16.86;6.2;;35.31
SC_18H_A_T10-3_R_0007.JPG;Palo alto;SC;T10;7;A;18;R4;1;159852;98633;67664;326149;49.01;30.24;20.75;;30.11
SC_18H_A_T10-3_R_0008.JPG;Palo alto;SC;T10;8;A;18;R4;2;112404;99107;78128;289639;38.81;34.22;26.97;;28.71
SC_18H_V_T10-3_R_0001.JPG;Palo alto;SC;T10;1;V;18;R1;1;312922;118125;67988;499035;62.71;23.67;13.62;;32.59
SC_18H_V_T10-3_R_0002.JPG;Palo alto;SC;T10;2;V;18;R1;2;394482;103125;60720;558327;70.65;18.47;10.88;;33.61
SC_18H_V_T10-3_R_0003.JPG;Palo alto;SC;T10;3;V;18;R2;1;176652;106070;76043;358765;49.24;29.57;21.2;;29.96
SC_18H_V_T10-3_R_0004.JPG;Palo alto;SC;T10;4;V;18;R2;2;329843;115053;104542;549438;60.03;20.94;19.03;;31.4
SC_18H_V_T10-3_R_0005.JPG;Palo alto;SC;T10;5;V;18;R3;1;496613;189794;137943;824350;60.24;23.02;16.73;;31.7
SC_18H_V_T10-3_R_0006.JPG;Palo alto;SC;T10;6;V;18;R3;2;378381;115575;72688;566644;66.78;20.4;12.83;;33.05
SC_18H_V_T10-3_R_0007.JPG;Palo alto;SC;T10;7;V;18;R4;1;371392;114610;60568;546570;67.95;20.97;11.08;;33.34
SC_18H_V_T10-3_R_0008.JPG;Palo alto;SC;T10;8;V;18;R4;2;308247;125861;62359;496467;62.09;25.35;12.56;;32.7
SC_3H_A_T10-3_R_0001.JPG;Palo alto;SC;T10;1;A;3H;R1;1;177405;59906;14998;252309;70.31;23.74;5.94;;33.89
SC_3H_A_T10-3_R_0002.JPG;Palo alto;SC;T10;2;A;3H;R1;2;213077;38414;13692;265183;80.35;14.49;5.16;;35.5
SC_3H_A_T10-3_R_0003.JPG;Palo alto;SC;T10;3;A;3H;R2;1;159412;56509;19210;235131;67.8;24.03;8.17;;33.09
SC_3H_A_T10-3_R_0004.JPG;Palo alto;SC;T10;4;A;3H;R2;2;121793;44566;22742;189101;64.41;23.57;12.03;;32.39
SC_3H_A_T10-3_R_0005.JPG;Palo alto;SC;T10;5;A;3H;R3;1;186475;50382;21371;258228;72.21;19.51;8.28;;34.18
SC_3H_A_T10-3_R_0006.JPG;Palo alto;SC;T10;6;A;3H;R3;2;150270;46834;18136;215240;69.82;21.76;8.43;;33.72
SC_3H_A_T10-3_R_0007.JPG;Palo alto;SC;T10;7;A;3H;R4;1;149488;57794;24512;231794;64.49;24.93;10.57;;32.91
SC_3H_A_T10-3_R_0008.JPG;Palo alto;SC;T10;8;A;3H;R4;2;132445;36837;11179;180461;73.39;20.41;6.19;;34.68
SC_3H_V_T10-3_R_0001.JPG;Palo alto;SC;T10;1;V;3H;R1;1;336374;80559;32014;448947;74.93;17.94;7.13;;34.64
SC_3H_V_T10-3_R_0002.JPG;Palo alto;SC;T10;2;V;3H;R1;2;304707;108860;57897;471464;64.63;23.09;12.28;;32.45
SC_3H_V_T10-3_R_0003.JPG;Palo alto;SC;T10;3;V;3H;R2;1;430019;138593;31513;600125;71.65;23.09;5.25;;33.83
SC_3H_V_T10-3_R_0004.JPG;Palo alto;SC;T10;4;V;3H;R2;2;490087;115738;37612;643437;76.17;17.99;5.85;;34.66
SC_3H_V_T10-3_R_0005.JPG;Palo alto;SC;T10;5;V;3H;R3;1;262971;66260;29058;358289;73.4;18.49;8.11;;34.31
SC_3H_V_T10-3_R_0006.JPG;Palo alto;SC;T10;6;V;3H;R3;2;487721;138131;53691;679543;71.77;20.33;7.9;;33.63
SC_3H_V_T10-3_R_0007.JPG;Palo alto;SC;T10;7;V;3H;R4;1;362572;102420;53626;518618;69.91;19.75;10.34;;33.45
SC_3H_V_T10-3_R_0008.JPG;Palo alto;SC;T10;8;V;3H;R4;2;322061;137367;69531;528959;60.89;25.97;13.14;;32.21
SC_18H_A_T10-3_R_0001.JPG;Palo alto;SC;T13;1;A;18;R1;1;316385;104261;104984;525630;60.19;19.84;19.97;3;31.06
SC_18H_A_T10-3_R_0002.JPG;Palo alto;SC;T13;2;A;18;R1;2;101830;100307;139726;341863;29.79;29.34;40.87;5;25.91
SC_18H_A_T10-3_R_0003.JPG;Palo alto;SC;T13;3;A;18;R2;1;236910;149326;183622;569858;41.57;26.2;32.22;4;27.74
SC_18H_A_T10-3_R_0004.JPG;Palo alto;SC;T13;4;A;18;R2;2;4752;45554;243959;294265;1.61;15.48;82.9;6;18.37
SC_18H_A_T10-3_R_0005.JPG;Palo alto;SC;T13;5;A;18;R3;1;110997;69328;91847;272172;40.78;25.47;33.75;5;28.47
SC_18H_A_T10-3_R_0006.JPG;Palo alto;SC;T13;6;A;18;R3;2;17646;52573;186502;256721;6.87;20.48;72.65;6;19.86
SC_18H_A_T10-3_R_0007.JPG;Palo alto;SC;T13;7;A;18;R4;1;151270;39454;36020;226744;66.71;17.4;15.89;3;32.95
SC_18H_A_T10-3_R_0008.JPG;Palo alto;SC;T13;8;A;18;R4;2;4274;69470;171028;244772;1.75;28.38;69.87;6;20.39
SC_18H_V_T10-3_R_0001.JPG;Palo alto;SC;T13;1;V;18;R1;1;206596;102421;129201;438218;47.14;23.37;29.48;4;29.22
SC_18H_V_T10-3_R_0002.JPG;Palo alto;SC;T13;2;V;18;R1;2;273599;122701;178198;574498;47.62;21.36;31.02;4;29.18
SC_18H_V_T10-3_R_0003.JPG;Palo alto;SC;T13;3;V;18;R2;1;111303;83220;126640;321163;34.66;25.91;39.43;4;26.19
SC_18H_V_T10-3_R_0004.JPG;Palo alto;SC;T13;4;V;18;R2;2;238748;108483;153069;500300;47.72;21.68;30.6;4;28.7
SC_18H_V_T10-3_R_0005.JPG;Palo alto;SC;T13;5;V;18;R3;1;378908;163805;220682;763395;49.63;21.46;28.91;5;29.13
SC_18H_V_T10-3_R_0006.JPG;Palo alto;SC;T13;6;V;18;R3;2;290349;106312;136575;533236;54.45;19.94;25.61;4;30.15
SC_18H_V_T10-3_R_0007.JPG;Palo alto;SC;T13;7;V;18;R4;1;297923;98340;103655;499918;59.59;19.67;20.73;4;31.46
SC_18H_V_T10-3_R_0008.JPG;Palo alto;SC;T13;8;V;18;R4;2;203074;127421;158805;489300;41.5;26.04;32.46;5;28.45
SC_3H_A_T10-3_R_0001.JPG;Palo alto;SC;T13;1;A;3H;R1;1;322051;137809;78067;537927;59.87;25.62;14.51;3;31.61
SC_3H_A_T10-3_R_0002.JPG;Palo alto;SC;T13;2;A;3H;R1;2;545891;112679;79488;738058;73.96;15.27;10.77;3;33.88
SC_3H_A_T10-3_R_0003.JPG;Palo alto;SC;T13;3;A;3H;R2;1;328684;197956;132335;658975;49.88;30.04;20.08;3;30.01
SC_3H_A_T10-3_R_0004.JPG;Palo alto;SC;T13;4;A;3H;R2;2;185902;164145;157555;507602;36.62;32.34;31.04;4;27.45
SC_3H_A_T10-3_R_0005.JPG;Palo alto;SC;T13;5;A;3H;R3;1;344470;124308;113913;582691;59.12;21.33;19.55;3;31.39
SC_3H_A_T10-3_R_0006.JPG;Palo alto;SC;T13;6;A;3H;R3;2;256509;86909;78719;422137;60.76;20.59;18.65;3;31.46
SC_3H_A_T10-3_R_0007.JPG;Palo alto;SC;T13;7;A;3H;R4;1;267001;140339;126162;533502;50.05;26.31;23.65;4;29.87
SC_3H_A_T10-3_R_0008.JPG;Palo alto;SC;T13;8;A;3H;R4;2;86951;136179;128997;352127;24.69;38.67;36.63;5;25.88
SG_3H_V_T10-3_R_0001.JPG;Palo alto;SC;T13;1;V;3H;R1;1;303956;72091;59445;435492;69.8;16.55;13.65;2;33.38
SG_3H_V_T10-3_R_0002.JPG;Palo alto;SC;T13;2;V;3H;R1;2;300530;116288;100797;517615;58.06;22.47;19.47;2;31.16
SG_3H_V_T10-3_R_0003.JPG;Palo alto;SC;T13;3;V;3H;R2;1;412111;155490;61780;629381;65.48;24.71;9.82;2;32.74
SG_3H_V_T10-3_R_0004.JPG;Palo alto;SC;T13;4;V;3H;R2;2;437594;116327;70411;624332;70.09;18.63;11.28;2;33.51
SG_3H_V_T10-3_R_0005.JPG;Palo alto;SC;T13;5;V;3H;R3;1;234736;61977;51617;348330;67.39;17.79;14.82;2;33.12
SG_3H_V_T10-3_R_0006.JPG;Palo alto;SC;T13;6;V;3H;R3;2;475599;135541;99511;710651;66.92;19.07;14;3;32.7
SG_3H_V_T10-3_R_0007.JPG;Palo alto;SC;T13;7;V;3H;R4;1;329316;90843;80759;500918;65.74;18.14;16.12;2;32.68
SG_3H_V_T10-3_R_0008.JPG;Palo alto;SC;T13;8;V;3H;R4;2;224232;154638;122387;501257;44.73;30.85;24.42;4;29.46
SC_0H_A_T10-3_R_0001.JPG;Walpon;SC;T5;1;A;0H;R1;1;118837;19303;3237;141377;84.06;13.65;2.29;;31.06
SC_0H_A_T10-3_R_0002.JPG;Walpon;SC;T5;2;A;0H;R1;2;153331;27526;6174;187031;81.98;14.72;3.3;;25.91
SC_0H_A_T10-3_R_0003.JPG;Walpon;SC;T5;3;A;0H;R2;1;118773;30756;6216;155745;76.26;19.75;3.99;;27.74
SC_0H_A_T10-3_R_0004.JPG;Walpon;SC;T5;4;A;0H;R2;2;96437;16496;5119;118052;81.69;13.97;4.34;;18.37
SC_0H_A_T10-3_R_0005.JPG;Walpon;SC;T5;5;A;0H;R3;1;107798;24276;3213;135287;79.68;17.94;2.37;;28.47
SC_0H_A_T10-3_R_0006.JPG;Walpon;SC;T5;6;A;0H;R3;2;115945;60011;7719;183675;63.13;32.67;4.2;;19.86
SC_0H_A_T10-3_R_0007.JPG;Walpon;SC;T5;7;A;0H;R4;1;109675;25395;4695;139765;78.47;18.17;3.36;;32.95
SC_0H_A_T10-3_R_0008.JPG;Walpon;SC;T5;8;A;0H;R4;2;121400;15808;3235;140443;86.44;11.26;2.3;;20.39
SC_0H_V_T10-3_R_0001.JPG;Walpon;SC;T5;1;V;0H;R1;1;201534;31678;4987;238199;84.61;13.3;2.09;;29.22
SC_0H_V_T10-3_R_0002.JPG;Walpon;SC;T5;2;V;0H;R1;2;179945;16395;2588;198928;90.46;8.24;1.3;;29.18
SC_0H_V_T10-3_R_0003.JPG;Walpon;SC;T5;3;V;0H;R2;1;221032;23596;3499;248127;89.08;9.51;1.41;;26.19
SC_0H_V_T10-3_R_0004.JPG;Walpon;SC;T5;4;V;0H;R2;2;216776;56699;16980;290455;74.63;19.52;5.85;;28.7
SC_0H_V_T10-3_R_0005.JPG;Walpon;SC;T5;5;V;0H;R3;1;160856;38757;6697;206310;77.97;18.79;3.25;;29.13
SC_0H_V_T10-3_R_0006.JPG;Walpon;SC;T5;6;V;0H;R3;2;123035;24548;5357;152940;80.45;16.05;3.5;;30.15
SC_0H_V_T10-3_R_0007.JPG;Walpon;SC;T5;7;V;0H;R4;1;244740;35890;9044;289674;84.49;12.39;3.12;;31.46
SC_0H_V_T10-3_R_0008.JPG;Walpon;SC;T5;8;V;0H;R4;2;169355;24055;5193;198603;85.27;12.11;2.61;;28.45
SC_18H_A_T10-3_R_0001.JPG;Walpon;SC;T5;1;A;18;R1;1;33779;285458;150807;470044;7.19;60.73;32.08;;31.61
SC_18H_A_T10-3_R_0002.JPG;Walpon;SC;T5;2;A;18;R1;2;60146;241803;134541;436490;13.78;55.4;30.82;;33.88
SC_18H_A_T10-3_R_0003.JPG;Walpon;SC;T5;3;A;18;R2;1;34164;262555;105693;402412;8.49;65.25;26.26;;30.01
SC_18H_A_T10-3_R_0004.JPG;Walpon;SC;T5;4;A;18;R2;2;42858;318728;126100;487686;8.79;65.36;25.86;;27.45
SC_18H_A_T10-3_R_0005.JPG;Walpon;SC;T5;5;A;18;R3;1;89350;282677;161755;533782;16.74;52.96;30.3;;31.39
SC_18H_A_T10-3_R_0006.JPG;Walpon;SC;T5;6;A;18;R3;2;119937;245883;113780;479600;25.01;51.27;23.72;;31.46
SC_18H_A_T10-3_R_0007.JPG;Walpon;SC;T5;7;A;18;R4;1;150360;284182;120879;555421;27.07;51.17;21.76;;29.87
SC_18H_A_T10-3_R_0008.JPG;Walpon;SC;T5;8;A;18;R4;2;97532;255873;157097;510502;19.11;50.12;30.77;;25.88
SC_18H_V_T10-3_R_0001.JPG;Walpon;SC;T5;1;V;18;R1;1;217608;269448;65057;552113;39.41;48.8;11.78;;33.38
SC_18H_V_T10-3_R_0002.JPG;Walpon;SC;T5;2;V;18;R1;2;78257;147971;34864;261092;29.97;56.67;13.35;;31.16
SC_18H_V_T10-3_R_0003.JPG;Walpon;SC;T5;3;V;18;R2;1;192948;224126;78902;495976;38.9;45.19;15.91;;32.74
