VARIABLES;Productor;Variedad;Tiempo;Total_racimo;Color;Tratamientos;Repeticion ;N_Racimo ;VERDE;AMARILLO ;PARDO ;TOTAL ;Verde;Amarillo ;Pardo ;Nota_6;Hue
AL_3H_A_T10-3_R_0001.JPG;Delirio ;AL;T7;1;A;3H;R1;1;130721;179234;109983;419938;31.13;42.68;26.19;;
AL_3H_A_T10-3_R_0002.JPG;Delirio ;AL;T7;2;A;3H;R1;2;276229;119776;107533;503538;54.86;23.79;21.36;;
AL_3H_A_T10-3_R_0003.JPG;Delirio ;AL;T7;3;A;3H;R2;1;132331;160557;101474;394362;33.56;40.71;25.73;;
AL_3H_A_T10-3_R_0004.JPG;Delirio ;AL;T7;4;A;3H;R2;2;278004;222561;182321;682886;40.71;32.59;26.7;;
AL_3H_A_T10-3_R_0005.JPG;Delirio ;AL;T7;5;A;3H;R3;1;154692;207334;139544;501570;30.84;41.34;27.82;;
AL_3H_A_T10-3_R_0006.JPG;Delirio ;AL;T7;6;A;3H;R3;2;179153;172920;102211;454284;39.44;38.06;22.5;;
AL_3H_A_T10-3_R_0007.JPG;Delirio ;AL;T7;7;A;3H;R4;1;185693;275726;197918;659337;28.16;41.82;30.02;;
AL_3H_A_T10-3_R_0008.JPG;Delirio ;AL;T7;8;A;3H;R4;2;179764;249113;124226;553103;32.5;45.04;22.46;;
AL_3H_V_T10-3_R_0001.JPG;Delirio ;AL;T7;1;V;3H;R1;1;107537;103928;88176;299641;35.89;34.68;29.43;;
AL_3H_V_T10-3_R_0002.JPG;Delirio ;AL;T7;2;V;3H;R1;2;322138;215869;163237;701244;45.94;30.78;23.28;;
AL_3H_V_T10-3_R_0003.JPG;Delirio ;AL;T7;3;V;3H;R2;1;347632;164694;150583;662909;52.44;24.84;22.72;;
AL_3H_V_T10-3_R_0004.JPG;Delirio ;AL;T7;4;V;3H;R2;2;206671;121719;110069;438459;47.14;27.76;25.1;;
AL_3H_V_T10-3_R_0005.JPG;Delirio ;AL;T7;5;V;3H;R3;1;213879;145677;150107;509663;41.96;28.58;29.45;;
AL_3H_V_T10-3_R_0006.JPG;Delirio ;AL;T7;6;V;3H;R3;2;362007;226010;109944;697961;51.87;32.38;15.75;;
AL_3H_V_T10-3_R_0007.JPG;Delirio ;AL;T7;7;V;3H;R4;1;231741;153004;117532;502277;46.14;30.46;23.4;;
AL_3H_V_T10-3_R_0008.JPG;Delirio ;AL;T7;8;V;3H;R4;2;340267;295829;229103;865199;39.33;34.19;26.48;;
AL_0H_A_T10-3_R_0001.JPG;Delirio ;AL;T10;1;A;0H;R1;1;364280;164493;114159;642932;56.66;25.58;17.76;;31.24
AL_0H_A_T10-3_R_0002.JPG;Delirio ;AL;T10;2;A;0H;R1;2;275264;275265;227480;778009;35.38;35.38;29.24;;27.78
AL_0H_A_T10-3_R_0003.JPG;Delirio ;AL;T10;3;A;0H;R2;1;214430;171460;108287;494177;43.39;34.7;21.91;;29.54
AL_0H_A_T10-3_R_0004.JPG;Delirio ;AL;T10;4;A;0H;R2;2;139818;197954;181486;519258;26.93;38.12;34.95;;26.02
AL_0H_A_T10-3_R_0005.JPG;Delirio ;AL;T10;5;A;0H;R3;1;169276;212880;172836;554992;30.5;38.36;31.14;;26.56
AL_0H_A_T10-3_R_0006.JPG;Delirio ;AL;T10;6;A;0H;R3;2;173957;141068;140487;455512;38.19;30.97;30.84;;27.46
AL_0H_A_T10-3_R_0007.JPG;Delirio ;AL;T10;7;A;0H;R4;1;227367;171653;170397;569417;39.93;30.15;29.92;;28.04
AL_0H_A_T10-3_R_0008.JPG;Delirio ;AL;T10;8;A;0H;R4;2;166884;307076;151147;625107;26.7;49.12;24.18;;27.28
AL_0H_V_T10-3_R_0001.JPG;Delirio ;AL;T10;1;V;0H;R1;1;326208;106078;93262;525548;62.07;20.18;17.75;;32.31
AL_0H_V_T10-3_R_0002.JPG;Delirio ;AL;T10;2;V;0H;R1;2;473426;120827;129336;723589;65.43;16.7;17.87;;32.7
AL_0H_V_T10-3_R_0003.JPG;Delirio ;AL;T10;3;V;0H;R2;1;301616;164046;118630;584292;51.62;28.08;20.3;;30.53
AL_0H_V_T10-3_R_0004.JPG;Delirio ;AL;T10;4;V;0H;R2;2;248340;131434;106829;486603;51.04;27.01;21.95;;30.04
AL_0H_V_T10-3_R_0005.JPG;Delirio ;AL;T10;5;V;0H;R3;1;387057;193142;146843;727042;53.24;26.57;20.2;;30.35
AL_0H_V_T10-3_R_0006.JPG;Delirio ;AL;T10;6;V;0H;R3;2;351171;150611;106562;608344;57.73;24.76;17.52;;31.15
AL_0H_V_T10-3_R_0007.JPG;Delirio ;AL;T10;7;V;0H;R4;1;228843;152691;147397;528931;43.27;28.87;27.87;;28.64
AL_0H_V_T10-3_R_0008.JPG;Delirio ;AL;T10;8;V;0H;R4;2;337119;164283;197444;698846;48.24;23.51;28.25;;29.37
AL_18H_A_T10-3_R0001.JPG;Delirio ;AL;T10;1;A;18;R1;1;30907;120243;241939;393089;7.86;30.59;61.55;;21.47
AL_18H_A_T10-3_R0002.JPG;Delirio ;AL;T10;2;A;18;R1;2;6858;131065;302562;440485;1.56;29.75;68.69;;19.58
AL_18H_A_T10-3_R0003.JPG;Delirio ;AL;T10;3;A;18;R2;1;11080;156909;331616;499605;2.22;31.41;66.38;;20.6
AL_18H_A_T10-3_R0004.JPG;Delirio ;AL;T10;4;A;18;R2;2;76150;156661;216396;449207;16.95;34.88;48.17;;23.95
AL_18H_A_T10-3_R0005.JPG;Delirio ;AL;T10;5;A;18;R3;1;102250;190151;253198;545599;18.74;34.85;46.41;;24.61
AL_18H_A_T10-3_R0006.JPG;Delirio ;AL;T10;6;A;18;R3;2;58227;175970;214430;448627;12.98;39.22;47.8;;23.7
AL_18H_A_T10-3_R0007.JPG;Delirio ;AL;T10;7;A;18;R4;1;8052;65255;220434;293741;2.74;22.22;75.04;;20.11
AL_18H_A_T10-3_R0008.JPG;Delirio ;AL;T10;8;A;18;R4;2;5036;86304;200159;291499;1.73;29.61;68.67;;20.71
